osm_id,osm_type,capacity,aeroway,building,amenity,layer,surface,railway,parking,public_transport,operator,name,longitude,latitude,geom_type
"1059612680",ways_poly,,,,parking,,,,,,,,106.9083505505,47.9211756969521,POLYGON
"385849964",ways_poly,,,,parking,,,,,,,,106.902845755485,47.9269478737526,POLYGON
"387885000",ways_poly,,,,parking,,,,,,,,106.915422444285,47.9254655160749,POLYGON
"863743232",ways_poly,,,,parking,,,,,,,,106.811202644904,47.9208142555179,POLYGON
"863743203",ways_poly,,,,parking,,,,,,,,106.813872229889,47.9217125074474,POLYGON
"864908489",ways_poly,,,,parking,,,,,,,,106.809338779842,47.9100122122274,POLYGON
"242306897",ways_poly,,,,parking,,,,surface,,,,106.981170939319,47.9183927136711,POLYGON
"902488343",ways_poly,,,,parking,,asphalt,,,,,,106.9886833474,47.9172535960794,POLYGON
"860542437",ways_poly,,,,parking,,,,,,,,106.989521883599,47.9204949225333,POLYGON
"864502346",ways_poly,,,,parking,,,,,,,,106.817524037715,47.9196728119719,POLYGON
"1180001130",ways_poly,,,,parking,,,,,,,,106.835148692044,47.8676619425512,POLYGON
"386890824",ways_poly,,,,parking,,,,,,,,106.90863065,47.91328795,POLYGON
"930350072",ways_poly,,,,parking,,,,,,,,106.908377962852,47.9117832730958,POLYGON
"386903129",ways_poly,,,,parking,,,,,,,,106.904877150533,47.9134666399592,POLYGON
"236178391",ways_poly,,,,parking,,,,,,,,106.907976405558,47.9131062851339,POLYGON
"864579433",ways_poly,,,,parking,,,,,,,,106.994126508082,47.9134483452806,POLYGON
"863277641",ways_poly,,,,parking,,,,,,,,106.972806365978,47.9103298653609,POLYGON
"862959849",ways_poly,,,,parking,,,,,,,,106.972791378596,47.916587025839,POLYGON
"859562378",ways_poly,,,,parking,,,,,,,,106.985635791804,47.9206951128964,POLYGON
"1205367996",ways_poly,,,,parking,,asphalt,,surface,,,,106.937770724755,47.8925678638516,POLYGON
"387976208",ways_poly,,,,parking,,,,,,,,106.946450593919,47.9209888874828,POLYGON
"386125008",ways_poly,,,,parking,,,,,,,,106.936895527937,47.9145160090717,POLYGON
"287669629",ways_poly,,,,parking,,,,,,,,106.940539992619,47.9020140528227,POLYGON
"1064760487",ways_poly,,,,parking,,,,,,,,107.011131717516,47.9327357793026,POLYGON
"863436944",ways_poly,,,,parking,,,,,,,,107.02128796237,47.9059064887164,POLYGON
"228092770",ways_poly,,,train_station,,,,,,,,Амгалан өртөө,107.014338074205,47.9033463748129,POLYGON
"388179770",ways_poly,,,,parking,,,,,,,,106.891428735689,47.9103353142627,POLYGON
"386515876",ways_poly,,,,parking,,,,,,,,106.844958155694,47.9162299953876,POLYGON
"860296150",ways_poly,,,,parking,,,,,,,,106.874145834272,47.9194876572114,POLYGON
"860296140",ways_poly,,,,parking,,,,,,,,106.870707941492,47.9180793326523,POLYGON
"388176047",ways_poly,,,,parking,,,,,,,,106.874132266667,47.9116638,POLYGON
"870773916",ways_poly,,,,parking,,,,,,,,106.868421112325,47.9019340987628,POLYGON
"157871455",ways_poly,,,,parking,,,,surface,,,,106.877843364188,47.9004009543403,POLYGON
"210022445",ways_poly,,,,parking,,,,,,,,106.883919853925,47.908878026232,POLYGON
"388136156",ways_poly,,,,parking,,,,,,,,106.944416725603,47.9197102109377,POLYGON
"246087894",ways_poly,,,,parking,,,,surface,,,,106.951700860237,47.9200942096133,POLYGON
"246096195",ways_poly,,,,parking,,,,surface,,,,106.94692825,47.9194578,POLYGON
"387821027",ways_poly,"20",,,parking,,,,surface,,,,106.945529613237,47.9212707462315,POLYGON
"158508835",ways_poly,,,,parking,,,,surface,,,МУИС-н 7 зогсоол,106.927143538006,47.9201750100677,POLYGON
"867735599",ways_poly,,,,parking,,,,,,,,106.927513352945,47.9148673125059,POLYGON
"387976203",ways_poly,,,,parking,,,,,,,,106.950817949717,47.9192940525376,POLYGON
"242313353",ways_poly,,,,parking,,,,surface,,,,106.88998046629,47.9121276945715,POLYGON
"863728808",ways_poly,,,,parking,,,,,,,,106.890598112703,47.9139977044253,POLYGON
"388177604",ways_poly,,,,parking,,,,,,,,106.880492761622,47.9104716057448,POLYGON
"388177607",ways_poly,,,,parking,,,,,,,,106.881608163722,47.9106117939203,POLYGON
"859413753",ways_poly,,,,parking,,,,,,,,106.884861525163,47.9151556709715,POLYGON
"540997855",ways_poly,,,,parking,,asphalt,,,,,,106.926313867335,47.9203203909126,POLYGON
"1230826488",ways_poly,,helipad,,,,,,,,,,106.9183797,47.92071735,POLYGON
"1253166163",ways_poly,,,,parking,,,,,,,,106.93683048957,47.9211058681839,POLYGON
"242181440",ways_poly,,,,parking,,,,surface,,,,106.899158941283,47.9191561344418,POLYGON
"866668705",ways_poly,,,,parking,,,,,,,,106.899225801099,47.9097536472457,POLYGON
"160954663",ways_poly,,,,parking,,,,surface,,,,106.908219878749,47.9141609411068,POLYGON
"161161983",ways_poly,,,,parking,,,,surface,,,,106.913851880268,47.9108733608985,POLYGON
"279483084",ways_poly,,,,parking,,,,,,,,106.906384297709,47.9164412613111,POLYGON
"279483083",ways_poly,,,,parking,,,,,,,,106.906855657492,47.917087764434,POLYGON
"866668695",ways_poly,,,,parking,,,,,,,,106.898350636199,47.9120033183948,POLYGON
"930346420",ways_poly,,,,parking,,,,,,,,106.907372656607,47.9155474802458,POLYGON
"387887237",ways_poly,"50",,,parking,,asphalt,,surface,,Margad Center,,106.926602410347,47.9191867271004,POLYGON
"242422176",ways_poly,,,,parking,,,,surface,,,,106.919979252786,47.9266087096997,POLYGON
"868683048",ways_poly,,,,parking,,,,,,,,106.883708271785,47.9025430828464,POLYGON
"868519757",ways_poly,,,,parking,,,,,,,,106.89923273736,47.9033816011285,POLYGON
"386120046",ways_poly,,,,parking,,,,,,,,106.930859807652,47.9012896797368,POLYGON
"890980441",ways_poly,,hangar,yes,,,,,,,,,106.77209195,47.8472375,POLYGON
"291415724",ways_poly,,hangar,yes,,,,,,,,,106.765431400649,47.8517733011444,POLYGON
"217522849",ways_poly,,,,parking,,,,surface,,,,106.769320276373,47.8481335790243,POLYGON
"679056788",ways_poly,,hangar,hangar,,,,,,,,,106.776151247955,47.8442981164044,POLYGON
"890980451",ways_poly,,apron,,,,,,,,,,106.7657241,47.8490615,POLYGON
"679055953",ways_poly,,hangar,yes,,,,,,,,,106.767724634026,47.8506820122667,POLYGON
"28902695",ways_poly,,aerodrome,,,,,,,,,Буянт-Ухаа олон улсын нисэх онгоцны буудал,106.766498621032,47.8429064452449,POLYGON
