id,trip_id,sequence_number,start_bus_stop,end_bus_stop
1029,54,5,000001258,000001256
1030,54,6,000001256,000001254
1031,54,7,000001254,000000314
1032,54,8,000000314,000000241
1033,54,9,000000241,000000243
1034,54,10,000000243,000001444
1035,54,11,000001444,000000245
1036,54,12,000000245,000000247
1037,54,13,000000247,000000269
1038,54,14,000000269,000000267
1039,54,15,000000267,000000302
1040,54,16,000000302,000000303
1041,54,17,000000303,000000305
1042,54,18,000000305,000000417
1043,54,19,000000417,000000416
1044,55,1,000000437,000000436
1045,55,2,000000436,000000434
1046,55,3,000000434,000000431
1047,55,4,000000431,000000429
1048,55,5,000000429,000000425
